,cord_uid,sentence_id,section,sentence
16996,xhaltyff,xhaltyff1816996,Concept 2-obstacles and opportunities in pre-clinical development,"The point was reiterated that we need to strengthen international clinical trials capacities, attempt to better align regulatory agency review requirements, and to develop more flexible funding mechanisms."
27196,kaip0d1i,kaip0d1i627196,Support vector machine,SVM with a radial kernel is used to perform the experiments.
34241,8xx1xm2d,8xx1xm2d034241,body_text,"In this Journal, Zhu et al. recently reported the results of their genomic analysis of multidrug-resistant Klebsiella pneumoniae isolates from individual patients before and after colistin treatment highlighting the rapid emergence and multifaceted molecular mechanisms of colistin resistance in K. pneumoniae."
34243,8xx1xm2d,8xx1xm2d034243,body_text,2 Oral non-absorbed colistin has been proposed as a decontamination strategy in intensive care units and for patients carrying multidrug resistant Enterobacterales (MDR-E).
34247,8xx1xm2d,8xx1xm2d034247,body_text,"Here, we studied the impact of non-absorbed oral colistin on the emergence of CR in the gut microbiota of patients from the RGNOSIS-WP3 randomized controlled trial."
34248,8xx1xm2d,8xx1xm2d034248,body_text,"6 Thirty-nine subjects colonized with MDR-E were randomized to receive oral colistin sulfate 2 MIU 4 times a day + neomycin sulfate 500 mg bid for 5 days followed by a fecal microbiota transplant (FMT) from healthy donors, or no intervention."
34256,8xx1xm2d,8xx1xm2d034256,body_text,7 Electroporation of plasmids was performed to localize the gene conferring resistance to colistin and neomycin and molecular typing of the electroporants was performed using PCR based replicon typing (PBRT).
34260,8xx1xm2d,8xx1xm2d034260,body_text,"Among both subjects with CR-Enterobacterales, one carried 10 Log CFU/g of Hafnia paralvei , a species which is intrinsically resistant to colistin (MIC = 8 mg/L), also resistant to neomycin (MIC = 32 mg/L) on visit 4 and the other carried 1 Log CFU/g and 3 Log CFU/g CR-E. coli at visits 4 and 5, respectively, with a colistin MIC at 8 mg/L. Relative abundance of CR-E. coli increased between V4 and V5 from 0.01% to 1% of the total Enterobacterales population."
34262,8xx1xm2d,8xx1xm2d034262,body_text,"A plasmid-borne mcr-1.1 gene encoding for CR as well as a aph(3 )-Ia gene conferring resistance to neomycin were identified, both being co-located on the same IncHI2 plasmid."
34399,8xx1xm2d,8xx1xm2d734399,Antimicrobial prophylaxis against PJ and of PJP occurrence,"Specimens were cultured on BCYE-alpha agar, BD (Becton Dickinson) MGIT® ( Mycobacteria Growth Indicator Tube)/Lowenstein-Jensen agar slants and Sabouraud agar for recovery of Legionella pneumophila, Mycobacterium spp., and other fungal organisms, respectively."
34414,8xx1xm2d,8xx1xm2d8234414,Simulating and forecasting the cumulative confirmed cases of SARS-CoV-2 in China by Boltzmann function-based regression analyses,"In addition, we estimated the key date, on which the number of daily new confirmed cases is lower than 0.1% of the potential total number as defined by us subjectively (refer to Table 1 )."
34439,8xx1xm2d,8xx1xm2d7734439,Novel coronavirus disease (Covid-19): The first two patients in the UK with person to person transmission,"Repeat blood tests in this individual on d3 demonstrated mild acute kidney injury (AKI, serum creatinine 144 μmol/L)."
34538,8xx1xm2d,8xx1xm2d2334538,"Dear Editor,","Therefore, it is necessary to improve biosafety and self-protection awareness in susceptible populations that have contact with sick pigs and work in jobs related to handling pork products/contaminants."
34541,8xx1xm2d,8xx1xm2d4834541,"Dear Editor,","We recently observed the reactivation of Leishmania infection in a 46-year-old patient receiving methotrexate for psoriasis, who was diagnosed with visceral leishmaniasis (VL"
34545,8xx1xm2d,8xx1xm2d5034545,"Dear Editor,","Considering the above findings leishmaniasis was suspected and a needle aspiration of oral and cutaneous lesions was arranged in order to perform microscopy and Leishmania-PCR, which were positive for Leishmania."
